AEA;airport;Абемама-Атолл;Abemama Atoll;0.49:173.83;Pacific/Tarawa;Abemama Atoll
AED;city;Аленива;Aleneva;58.06:-152.9097222;America/Anchorage;United States
AED;airport;;Aleneva;58.03:-152.9;America/Anchorage;Aleneva
AEG;city;Аек Годанг;Aek Godang;1.4:99.43;Asia/Jakarta;Indonesia
AEG;airport;Эк-Годан;Aek Godang;1.4:99.43;Asia/Jakarta;Aek Godang
AEH;city;Абечер;Abecher;13.85:20.84;Africa/Ndjamena;Chad
AEH;airport;;Abecher;13.85:20.84;Africa/Ndjamena;Abecher
AEI;city;Альхесирас;Algeciras;36.1297803:-5.4476981;0;Spain
AEI;airport;;Algeciras;36.1297803:-5.4476981;0;Algeciras
AEK;city;Асеки;Aseki;-7.35:146.18;Pacific/Port_Moresby;Papua New Guinea
AEK;airport;Асеки;Aseki;-7.35:146.18;Pacific/Port_Moresby;Aseki
AEL;city;Альберт-Ли;Albert Lea;43.6485683:-93.3624319;America/Menominee;United States
AEL;airport;Альберт Ли;Albert Lea;43.68:-93.37;America/Menominee;Albert Lea
AEO;city;Аюн-эль-Атрус;Aioun El Atrouss;16.661011:-9.617236;Africa/Nouakchott;Mauritania
AEO;airport;;Aioun El Atrouss;16.71:-9.64;Africa/Nouakchott;Aioun El Atrouss
AEP;airport;;Aeroparque Jorge Newbery;-34.56:-58.42;America/Argentina/Buenos_Aires;Buenos Aires
AER;airport;Адлер - Сочи;Adler;43.45:39.96;Europe/Moscow;Adler
AER;city;Адлер;Adler;43.448:39.914;Europe/Moscow;Russia
AES;airport;Вигра;Vigra;62.56:6.11;Europe/Oslo;Aalesund
AES;city;Аалесунд;Aalesund;62.56:6.11;Europe/Oslo;Norway
AET;city;Аллакакет;Allakaket;66.5655556:-152.6455556;America/Anchorage;United States
AET;airport;;Allakaket;66.55:-152.62;America/Anchorage;Allakaket
AEU;city;Абу Муса;Abu Musa;;0;Iran
AEU;airport;;Abu Musa;;0;Abu Musa
AEX;airport;Александрия международный;Alexandria International;31.3112936:-92.4451371;America/New_York;Alexandria
AEX;city;Александрия;Alexandria;31.3112936:-92.4451371;America/New_York;United States
AEY;airport;Акурейри;Akureyri;65.66:-18.07;Atlantic/Reykjavik;Akureyri
AEY;city;Акюрейри;Akureyri;65.683868:-18.11046;Atlantic/Reykjavik;Iceland
AF;country;Афганистан;Afghanistan;;;
AFA;airport;Сан-Рафаэль;San Rafael;-34.59:-68.4;America/Argentina/Mendoza;San Rafael
AFA;city;Сан-Рафаэль;San Rafael;-34.6131516:-68.341011;America/Argentina/Mendoza;Argentina
AFD;city;Порт Альфред;Port Alfred;-33.6:26.8833333;Africa/Johannesburg;South Africa
